epoch,lr,train_loss,train_ce_loss,train_triplet_loss,train_cls_acc,val_loss,val_ce_loss,val_triplet_loss,val_cls_acc,val_rank1,val_same_mean_dist,val_diff_mean_dist,val_same_median_dist,val_diff_median_dist,suggested_threshold
1,0.00029917828430524096,7.113174969441182,3.964677934961634,3.14849706884619,0.08408408408408409,7.999960751925114,3.6405817861142364,4.359378928953899,0.15458937186549826,0.37681159420289856,0.5910797795148495,0.6331580084745341,0.5997442007064819,0.6370376348495483,0.6183909177780151
2,0.0002967221401100708,6.153913775721827,3.472618741674108,2.681295028319946,0.1927927927927928,6.848951760582302,3.1689465681711835,3.6800051702969316,0.31497584529545,0.46859903381642515,0.5954416647906294,0.6691073180262829,0.6056615710258484,0.6737215518951416,0.639691561460495
3,0.00029265847744427303,5.407382899791271,2.9445340806657487,2.4628487979327596,0.3504504504504504,5.874605757257212,2.4696936876877493,3.404912030869636,0.4512077296125716,0.5729468599033817,0.533277736069509,0.6368710506839528,0.5446071624755859,0.6406546831130981,0.592630922794342
4,0.0002870318186463901,4.542704213059342,2.4270696098740037,2.115634610058667,0.4666666666666667,4.831287286131854,2.0300122742491644,2.801274986082805,0.6202898549572857,0.6318840579710145,0.5262479110982249,0.6576926112344437,0.5369036197662354,0.6649165153503418,0.6009100675582886
5,0.0002799038105676658,3.9782181324543537,2.0076430873469904,1.9705750393795896,0.5903903903903904,4.105759282388549,1.6427635431289673,2.4629957573425365,0.6811594205202112,0.6695652173913044,0.48448813655337347,0.6643361807029858,0.4884105920791626,0.6702836751937866,0.5793471336364746
6,0.0002713525491562421,3.298032595946624,1.6689721531338162,1.6290604442447514,0.6744744744744745,3.6364398943629244,1.3966368860668605,2.239803031792387,0.7458937199795304,0.6975845410628019,0.46012797851271536,0.6671230526024501,0.46010011434555054,0.673064112663269,0.5665821135044098
7,0.00026147172382160914,2.8189350478999966,1.373893071796085,1.445041972953636,0.7537537537537538,3.106261659820299,1.0624921716929634,2.043769495498731,0.8009661841507695,0.7323671497584541,0.4338473119859487,0.6674359198429616,0.43707236647605896,0.6773211359977722,0.5571967512369156
8,0.00025036959095382875,2.4764835729971306,1.1521743791597383,1.3243091845297599,0.7945945945945946,2.7357543158070476,0.890354829652298,1.8453994759039027,0.8473429951690822,0.7961352657004831,0.4224414253766854,0.669524126561409,0.4200649559497833,0.6778640747070312,0.5489645153284073
9,0.000238167787843871,1.9834323885204557,0.9721906950523903,1.0112417014869484,0.8297297297297297,2.432800084726822,0.7517548888201875,1.6810451906084438,0.8821256044406246,0.7980676328502415,0.43405018177948795,0.690761212726007,0.435105562210083,0.7006853222846985,0.5678954422473907
10,0.00022500000000000002,1.8190733683359874,0.8200604939961934,0.9990128726214618,0.8555555555555555,2.281137677091331,0.6339738588978127,1.64716381099489,0.8908212563265925,0.8483091787439614,0.38838403913275577,0.677324639863835,0.38926079869270325,0.6896634697914124,0.5394621342420578
11,0.0002110104964613701,1.5530594029584088,0.7027817468385439,0.8502776592701405,0.884984984984985,2.1154735380900656,0.5400072263634723,1.5754663045855537,0.9169082128483316,0.8376811594202899,0.4113827511966771,0.6918812591082043,0.41541939973831177,0.7043730616569519,0.5598962306976318
12,0.00019635254915624216,1.4092841563640055,0.6097013444871874,0.799582803786338,0.9027027027027027,1.8883867722922476,0.4628402427342779,1.4255465342226812,0.9342995169082126,0.8676328502415459,0.3916227398348636,0.6962512894688586,0.3889375627040863,0.7083339095115662,0.5486357361078262
13,0.00018118675362266393,1.1298241321031037,0.5276175491086713,0.6022065830839289,0.9141141141141141,1.6420371293157772,0.3729675138918098,1.2690696055762434,0.9487922705314009,0.881159420289855,0.3782059777901255,0.690994592402599,0.3728354573249817,0.7043465971946716,0.5385910272598267
14,0.0001656792694901481,1.0354013997871239,0.466878624578138,0.5685227754864248,0.927027027027027,1.472761954518332,0.34726938726245493,1.1254925476756072,0.957487922705314,0.8888888888888888,0.3693527212125573,0.6891668043271201,0.3630329370498657,0.7016782760620117,0.5323556065559387
15,0.0001500000000000001,0.8728476601677972,0.40137982268233197,0.47146783633096084,0.9426426426426426,1.4988390570245502,0.3150730193093203,1.18376603356882,0.9584541062801932,0.9062801932367149,0.3635709943775705,0.6905407420032443,0.35728245973587036,0.7013744115829468,0.5293284356594086
16,0.00013432073050985205,0.7362261417749766,0.3589697288679289,0.3772564135111488,0.9471471471471471,1.2656418357926291,0.25454658239647965,1.0110952642804758,0.9748792270531401,0.9091787439613527,0.3564711363697747,0.6955011967690458,0.3524147570133209,0.7093365788459778,0.5308756679296494
17,0.00011881324637733612,0.6992445914236991,0.32745621927507645,0.3717883765659723,0.954954954954955,1.279271816480275,0.256523137010526,1.022748667203286,0.9748792270531401,0.9120772946859903,0.35800232051283065,0.6999881910557668,0.3555891513824463,0.7127678394317627,0.5341784954071045
18,0.00010364745084375793,0.6320089060980995,0.30091081095171407,0.3310980948539137,0.9615615615615616,1.1491160102368554,0.21620249366702665,0.9329135220983754,0.9826086956521739,0.9082125603864735,0.3440814122856206,0.7017280557655018,0.33852213621139526,0.7164303064346313,0.5274762213230133
19,8.898950353863e-05,0.5362393770131979,0.26624292639998703,0.2699964503024903,0.9690690690690691,1.0762006269776878,0.20197691165162746,0.8742237165354301,0.9884057971014493,0.9246376811594202,0.34023548056301955,0.7059962178730463,0.3373403251171112,0.7201248407363892,0.5287325829267502
20,7.500000000000006e-05,0.5379773676932394,0.26243143253498247,0.2755459333090363,0.9666666666666667,1.0602496218962083,0.17982996781019198,0.8804196544315503,0.9864734299516909,0.9333333333333333,0.3436116468005276,0.7004845247638009,0.3408395051956177,0.7160382270812988,0.5284388661384583
21,6.183221215612908e-05,0.4530873136835413,0.23508566091726493,0.21800165354489565,0.9753753753753753,1.1051560860613119,0.18157933337101037,0.9235767443974813,0.9816425120772947,0.9342995169082126,0.3337394920094634,0.7038096898425877,0.3286176025867462,0.7179904580116272,0.5233040302991867
22,4.963040904617134e-05,0.42996922949770905,0.21561238142821165,0.21435684821716658,0.9765765765765766,1.0682624300896832,0.16985700044079102,0.898405420952949,0.9855072463768116,0.9333333333333333,0.327660082305064,0.7033584172456628,0.3231368362903595,0.7168309092521667,0.5199838727712631
23,3.85282761783909e-05,0.39486398704059134,0.20527673082666711,0.18958725765481726,0.9819819819819819,1.017735653748547,0.1504354684897091,0.8673001771387847,0.9884057971014493,0.9429951690821256,0.331207759681078,0.7035122717645861,0.32581663131713867,0.718975305557251,0.5223959684371948
24,2.8647450843757918e-05,0.40426503058310387,0.20339625339966277,0.20086877702682226,0.9840840840840841,0.9938824542766608,0.1635759725374876,0.8303064720066273,0.9855072463768116,0.9391304347826087,0.3271048355243679,0.7069495879340199,0.322415828704834,0.7215837836265564,0.5219998061656952
25,2.0096189432334208e-05,0.4125723451465458,0.20270891311290387,0.20986343353270767,0.9777777777777777,0.9612015473867817,0.16002567040999444,0.8011758735214455,0.9884057971014493,0.9420289855072463,0.3184598245473073,0.7001303186208329,0.31313785910606384,0.712979793548584,0.5130588263273239
26,1.2968181353609862e-05,0.38524283167120216,0.19288884147151455,0.1923539906701034,0.9813813813813814,0.9812683782787714,0.15155162362804736,0.8297167689903923,0.9903381642512077,0.9468599033816425,0.32014100870799495,0.6990341909664822,0.3147147297859192,0.7117312550544739,0.5132229924201965
27,7.341522555726975e-06,0.38328124918379225,0.19405623735250296,0.1892250117932533,0.9786786786786786,0.9407636583895211,0.15151137524252928,0.7892522964500575,0.9903381642512077,0.9429951690821256,0.32606917222340903,0.7034537055804165,0.3215358257293701,0.7169872522354126,0.5192615389823914
28,3.277859889929149e-06,0.3654929448176433,0.1815858988432555,0.18390704495189067,0.984984984984985,0.9601309977975733,0.14194756442150055,0.8181834255439647,0.9864734299516909,0.9429951690821256,0.32935251893784395,0.7044620476741795,0.3242884874343872,0.7184602618217468,0.521374374628067
29,8.217156947589904e-07,0.40001934612835494,0.19035590010004358,0.20966344832837044,0.9801801801801802,0.9289791821749602,0.1466906664920026,0.7822885193686554,0.9864734299516909,0.9323671497584541,0.3222599977406865,0.6991296962344397,0.31665903329849243,0.7131346464157104,0.5148968398571014
30,0.0,0.3394366285822413,0.1817101243021968,0.15772650423529627,0.9852852852852853,0.9414393794133468,0.1448813017439727,0.796558089532714,0.9874396135265701,0.9449275362318841,0.32477484449662797,0.7059493574548615,0.3199334740638733,0.7200384140014648,0.5199859440326691
