metric,value
num_test_images,2100.0
num_chicken_ids,75.0
rank1_accuracy,1.0
same_id_mean_distance,0.30342450737953186
same_id_median_distance,0.303006649017334
same_id_min_distance,0.0
same_id_max_distance,0.7528265118598938
different_id_mean_distance,0.7071237564086914
different_id_median_distance,0.7189260125160217
different_id_min_distance,0.23276126384735107
different_id_max_distance,0.9647791981697083
suggested_cosine_threshold,0.5109663009643555
