frame_id,track_id,center_x,center_y,width,height,confidence,detected
1,1,635.3636474609375,771.0597534179688,276.0585632324219,173.88671875,0.8902816772460938,True
1,2,971.2682495117188,538.5753173828125,279.6500244140625,164.35836791992188,0.8798170685768127,True
1,3,1070.64306640625,1127.6123046875,247.88946533203125,171.6495361328125,0.873262345790863,True
1,4,1227.041748046875,1130.962646484375,217.3436279296875,198.8841552734375,0.8417641520500183,True
1,5,1456.5234375,1353.76025390625,147.3582763671875,248.658203125,0.8387916088104248,True
1,6,637.785400390625,596.4971313476562,293.90771484375,196.3292236328125,0.8334894776344299,True
1,7,1076.458740234375,1254.790283203125,262.275634765625,145.2918701171875,0.8328229188919067,True
1,8,1165.124267578125,1400.197265625,254.5548095703125,188.7056884765625,0.8307174444198608,True
1,9,1304.06103515625,1351.98779296875,212.0963134765625,197.0345458984375,0.8270247578620911,True
1,10,753.9653930664062,1305.312744140625,172.92333984375,264.1549072265625,0.8181120157241821,True
1,11,1358.509765625,1293.748291015625,173.9395751953125,234.2691650390625,0.7870471477508545,True
1,12,1419.01708984375,1192.65380859375,141.2100830078125,213.119140625,0.7825947999954224,True
1,13,1245.84228515625,1477.089111328125,246.9591064453125,126.375,0.7465689182281494,True
1,14,445.74432373046875,692.8839111328125,163.4910888671875,307.93389892578125,0.7032032608985901,True
1,15,533.9725341796875,507.08502197265625,165.73727416992188,251.5550537109375,0.62287837266922,True
2,1,637.9600830078125,774.8544921875,266.82830810546875,167.987548828125,0.8925086259841919,True
2,2,969.1551513671875,538.7884521484375,278.8583984375,163.91860961914062,0.8810451626777649,True
2,3,1070.553466796875,1127.213623046875,246.99639892578125,171.0211181640625,0.8752942085266113,True
2,4,1226.940185546875,1130.53466796875,215.7108154296875,197.376953125,0.8365784287452698,True
2,5,1457.911865234375,1355.58935546875,148.155029296875,250.0179443359375,0.8226932287216187,True
2,6,637.7307739257812,597.2569580078125,284.4338073730469,189.84078979492188,0.8400698900222778,True
2,7,1076.704833984375,1254.83349609375,261.7178955078125,144.988037109375,0.8338412642478943,True
2,8,1166.2513427734375,1394.90576171875,249.045654296875,184.4949951171875,0.8554998636245728,True
2,9,1304.6995849609375,1353.543701171875,214.879150390625,199.7393798828125,0.8279667496681213,True
2,10,753.635986328125,1305.9599609375,172.216796875,263.0230712890625,0.8227308988571167,True
2,11,1359.147216796875,1298.7779541015625,168.156982421875,226.2734375,0.7594152092933655,True
2,12,1418.2958984375,1196.448974609375,145.5638427734375,219.88427734375,0.7838701605796814,True
2,13,1243.2952880859375,1477.185546875,241.369140625,123.484130859375,0.7528629899024963,True
2,14,445.55084228515625,692.9071044921875,163.6600341796875,308.2257080078125,0.6966720223426819,True
2,15,534.709716796875,506.72454833984375,165.57388305664062,251.3311767578125,0.6204096078872681,True
3,1,636.4710693359375,777.2603759765625,262.30535888671875,164.8970947265625,0.8896089196205139,True
3,2,968.64794921875,538.6072998046875,278.63885498046875,163.82928466796875,0.8827219009399414,True
3,3,1070.459716796875,1127.181396484375,247.00067138671875,171.0108642578125,0.8798848986625671,True
3,4,1226.9984130859375,1130.6044921875,216.298828125,197.8717041015625,0.8468059301376343,True
3,5,1457.99951171875,1358.6171875,146.7105712890625,247.3372802734375,0.8148691058158875,True
3,6,636.9661254882812,602.3936767578125,288.4456787109375,192.50665283203125,0.8544276356697083,True
3,7,1076.631591796875,1254.7171630859375,261.8543701171875,145.082275390625,0.8363769054412842,True
3,8,1168.40185546875,1389.663330078125,247.7315673828125,183.3028564453125,0.843295693397522,True
3,9,1305.4638671875,1354.6751708984375,215.1627197265625,200.330078125,0.8298232555389404,True
3,10,753.470458984375,1305.9853515625,172.46209716796875,263.33203125,0.821533203125,True
3,11,1360.14892578125,1302.855224609375,164.5660400390625,220.9893798828125,0.7618802189826965,True
3,12,1419.2811279296875,1194.496826171875,142.594970703125,215.479736328125,0.7877253890037537,True
3,13,1241.410888671875,1476.90625,242.0648193359375,123.8338623046875,0.7604480981826782,True
3,14,446.201904296875,693.9396362304688,163.84420776367188,308.47900390625,0.6759016513824463,True
3,15,534.3068237304688,507.2889709472656,166.73104858398438,253.07708740234375,0.7043472528457642,True
4,1,635.4849853515625,779.4310302734375,261.97650146484375,164.31658935546875,0.8785948157310486,True
4,2,969.3333129882812,539.06689453125,279.8455810546875,164.64547729492188,0.8785614967346191,True
4,3,1069.830810546875,1126.7991943359375,245.77081298828125,170.106689453125,0.8783788681030273,True
4,4,1226.673095703125,1130.26416015625,215.591064453125,197.1524658203125,0.8443908095359802,True
4,5,1454.9881591796875,1359.091796875,147.922119140625,248.6600341796875,0.7895777821540833,True
