x1,y1,x2,y2
629,287,59,22
730,1023,71,115
732,1083,72,122
869,1414,90,165
1111,1020,122,114
1307,889,149,97
1494,566,173,55
1696,952,200,104
947,429,100,37
1251,510,141,48
1271,705,143,73
1663,922,196,101
1284,1536,145,179
565,1299,51,150
1318,1015,150,113
936,704,99,73
