track_id,start_frame,end_frame,num_points,detected_points,mean_confidence,start_time,end_time,duration_s,detected_ratio
62,153,156,4,4,0.5856445282697678,2026-06-01 00:00:05.066666667,2026-06-01 00:00:05.166666667,0.1,1.0
172,732,734,3,3,0.5075158178806305,2026-06-01 00:00:24.366666667,2026-06-01 00:00:24.433333333,0.06666666666666667,1.0
164,714,716,3,3,0.3739972213904063,2026-06-01 00:00:23.766666667,2026-06-01 00:00:23.833333333,0.06666666666666667,1.0
90,241,243,3,3,0.4798479378223419,2026-06-01 00:00:08.000000000,2026-06-01 00:00:08.066666667,0.06666666666666667,1.0
102,261,263,3,3,0.5794381598631541,2026-06-01 00:00:08.666666667,2026-06-01 00:00:08.733333333,0.06666666666666667,1.0
75,205,207,3,3,0.40950973828633624,2026-06-01 00:00:06.800000000,2026-06-01 00:00:06.866666667,0.06666666666666667,1.0
34,55,57,3,3,0.8659547964731852,2026-06-01 00:00:01.800000000,2026-06-01 00:00:01.866666667,0.06666666666666667,1.0
18,30,32,3,3,0.45739911993344623,2026-06-01 00:00:00.966666667,2026-06-01 00:00:01.033333333,0.06666666666666667,1.0
12,1,3,3,3,0.8816150029500326,2026-06-01 00:00:00.000000000,2026-06-01 00:00:00.066666667,0.06666666666666667,1.0
185,798,800,3,3,0.4440376857916514,2026-06-01 00:00:26.566666667,2026-06-01 00:00:26.633333333,0.06666666666666667,1.0
117,390,392,3,3,0.8950223525365194,2026-06-01 00:00:12.966666667,2026-06-01 00:00:13.033333333,0.06666666666666667,1.0
165,715,717,3,3,0.6967000563939413,2026-06-01 00:00:23.800000000,2026-06-01 00:00:23.866666667,0.06666666666666667,1.0
161,709,711,3,3,0.6938371260960897,2026-06-01 00:00:23.600000000,2026-06-01 00:00:23.666666667,0.06666666666666667,1.0
145,673,675,3,3,0.8396745324134827,2026-06-01 00:00:22.400000000,2026-06-01 00:00:22.466666667,0.06666666666666667,1.0
180,757,759,3,3,0.3270622491836548,2026-06-01 00:00:25.200000000,2026-06-01 00:00:25.266666667,0.06666666666666667,1.0
71,193,195,3,3,0.5187449852625529,2026-06-01 00:00:06.400000000,2026-06-01 00:00:06.466666667,0.06666666666666667,1.0
186,799,800,2,2,0.8244042694568634,2026-06-01 00:00:26.600000000,2026-06-01 00:00:26.633333333,0.03333333333333333,1.0
178,747,748,2,2,0.4969751536846161,2026-06-01 00:00:24.866666667,2026-06-01 00:00:24.900000000,0.03333333333333333,1.0
181,757,758,2,2,0.2830129712820053,2026-06-01 00:00:25.200000000,2026-06-01 00:00:25.233333333,0.03333333333333333,1.0
156,695,696,2,2,0.340971976518631,2026-06-01 00:00:23.133333333,2026-06-01 00:00:23.166666667,0.03333333333333333,1.0
171,731,732,2,2,0.34432992339134216,2026-06-01 00:00:24.333333333,2026-06-01 00:00:24.366666667,0.03333333333333333,1.0
