time_seconds,chicken_id,x,y,direction,invisible,frame
1,61,457.40326796699617,430.66769384726797,0.2792526803190927,0,30
1,62,627.7661227004795,379.88815471487493,1.500983156715125,0,30
1,63,934.8529001469078,433.79119000069534,0.9773843811168255,0,30
1,64,1097.5702190896684,536.2588318987295,0.10471975511965977,0,30
1,65,1273.2334430574672,362.52809727757045,5.654866776461635,0,30
1,66,1395.971294379825,407.9162080552974,0.3316125578789227,0,30
1,67,1382.5641130678941,625.0058797609456,0.9424777960769388,0,30
1,68,1318.3055260477158,857.0253537573076,3.1590459461097717,0,30
1,69,1154.5376072842332,826.2689125877596,2.914699850830522,0,30
1,70,693.6700512225491,681.5350298164802,4.834562028024309,0,30
1,71,871.5561856255259,1109.637808423611,2.6354471705114326,0,30
1,72,1195.398481579422,1011.8446480248132,1.7278759594743882,0,30
1,73,1215.3024312358364,1141.5950362838935,1.4660765716752384,0,30
1,74,1338.2819463810768,1313.198211597811,5.951572749300667,0,30
1,75,739.9182920125642,450.30978645760166,1.553343034274955,0,30
11,61,531.0048514644982,344.96370979543303,0.8028514559173923,0,330
11,62,750.797107103706,325.4626811407542,1.658062789394615,0,330
11,63,945.811804256497,525.5720119185036,0.785398163397449,0,330
11,64,1103.0496711444634,512.9711606658527,0.017453292519943302,0,330
11,65,1289.6717992218507,348.8294671405842,5.916666164260781,0,330
11,66,1396.656965044147,408.96886962415255,0.3316125578789227,0,330
11,67,1409.1682251128418,549.6953757959642,0.5934119456780724,0,330
11,68,1330.685219339556,862.1221510649868,3.228859116189544,0,330
11,69,1231.2499360513566,934.4880906699522,2.722713633111148,0,330
11,70,693.6700512225491,681.5350298164802,4.834562028024309,0,330
11,71,1207.3601376358358,420.8926450417428,6.195918844579871,0,330
11,72,1236.4943719903804,1250.2008124083745,0.6981317007977323,0,330
11,73,1215.3024312358364,1141.5950362838935,1.4660765716752384,0,330
11,74,1336.9120833673785,1315.9379376252082,5.951572749300667,0,330
11,75,796.0082173564147,417.26797327594034,1.4835298641951817,0,330
21,61,1099.2393869278826,742.4178830035739,2.3911010752322293,0,630
21,62,750.797107103706,325.4626811407542,1.658062789394615,0,630
21,63,924.7925203469324,497.1908582358833,0.8377580409572789,0,630
21,64,1091.9154360982411,513.8240045386808,6.938893903907228e-18,0,630
21,65,1308.0220442668751,332.9400936855842,6.073745796940269,0,630
21,66,1400.6941025923795,410.04776954059594,0.349065850398866,0,630
21,67,1409.1682251128418,549.6953757959642,0.5934119456780724,0,630
21,68,1334.7948083806518,879.9303702430691,3.2463124087094872,0,630
21,69,1231.2499360513566,934.4880906699522,2.722713633111148,0,630
21,70,859.1439804661471,1201.5386647017244,2.4260076602721616,0,630
21,71,1211.2798217923396,384.6258072149359,6.213372137099814,0,630
21,72,1236.5573855355572,1317.0828737980166,0.680678408277789,0,630
21,73,1215.3024312358364,1141.5950362838935,1.4660765716752384,0,630
21,74,1041.7982127064602,1240.8513015591295,5.148721293383285,0,630
21,75,781.1800011548764,419.37158166461876,1.5184364492350684,0,630
31,61,1203.4906741706209,633.1573893660645,0.6283185307179588,0,930
31,62,755.0435374361208,331.67552867977935,1.710422666954445,0,930
31,63,893.2856710318638,503.3552417975271,0.8377580409572789,0,930
31,64,1096.0250251393368,515.1938675523793,6.938893903907228e-18,0,930
31,65,1310.7617702942723,341.8442032746253,6.073745796940269,0,930
31,66,1403.433828619777,410.7327010474452,0.349065850398866,0,930
31,67,1409.1682251128418,549.6953757959642,0.5934119456780724,0,930
31,68,1331.3364923502963,812.8452748524887,3.385938748869032,0,930
31,69,1228.5102100239596,953.6661728617325,2.2514747350726845,0,930
31,70,984.3367656780263,1351.7966631303696,1.832595714594094,0,930
31,71,1210.424650580395,389.45701606389775,6.213372137099814,0,930
31,72,1250.4932022970606,1282.1651171608312,0.7155849933176757,0,930
31,73,1215.3024312358364,1141.5950362838935,1.4660765716752384,0,930
31,74,1043.1680757201589,1232.6321234769377,5.148721293383285,0,930
31,75,801.9908094635159,428.35152398089235,1.5707963267948983,0,930
41,61,1196.6413591021278,630.4176633386671,0.26179938779914913,0,1230
41,62,755.0435374361208,331.67552867977935,1.710422666954445,0,1230
41,63,893.2856710318638,503.3552417975271,0.8377580409572789,0,1230
41,64,1091.972602739726,515.8787990592286,6.938893903907228e-18,0,1230
41,65,1265.556290842217,452.8031073842146,1.3264502315156919,0,1230
41,66,1382.0557245126843,422.9978185502532,0.4188790204786393,0,1230
41,67,1421.7864757031316,532.5293958279306,0.5934119456780724,0,1230
41,68,1328.596766322899,822.4343159483792,3.385938748869032,0,1230
41,69,1228.5102100239596,953.6661728617325,2.2514747350726845,0,1230
41,70,1346.9859880299164,1387.4839983634283,0.8028514559174382,0,1230
41,71,1325.8872214182772,317.84526787468025,1.448623279155295,0,1230
41,72,1250.4932022970606,1282.1651171608312,0.7155849933176757,0,1230
41,73,1215.3024312358364,1141.5950362838935,1.4660765716752384,0,1230
41,74,609.8980081596902,604.2718289041765,5.410520681182431,0,1230
41,75,801.9908094635159,428.35152398089235,1.5707963267948983,0,1230
51,61,1187.472653791368,552.8516361110471,5.829399701661066,0,1530
51,62,752.3038114087233,333.045391693478,2.2340214425527414,0,1530
51,63,897.034576608385,474.43275493937995,0.9599310885968821,0,1530
51,64,1091.972602739726,515.8787990592286,6.938893903907228e-18,0,1530
51,65,1287.888310996858,429.66090865075086,1.2915436464758052,0,1530
51,66,1389.7316253162498,413.6852329050163,0.6457718232379024,0,1530
51,67,1415.6220921414877,533.8992588416293,0.5934119456780724,0,1530
51,68,1321.7474512544059,821.0644529346805,3.368485456349089,0,1530
51,69,1225.8873487033372,958.2272537943923,2.2514747350726845,0,1530
51,70,682.5393153589665,701.9369281146649,5.445427266222363,0,1530
51,71,1316.9035059274104,316.5742651307023,1.4835298641951817,0,1530
51,72,1250.4932022970606,1282.1651171608312,0.7155849933176757,0,1530
51,73,1215.3024312358364,1141.5950362838935,1.4660765716752384,0,1530
51,74,478.1828983682885,416.2206412976197,5.829399701661066,0,1530
51,75,785.0789431541717,437.17939496374197,1.4660765716752384,0,1530
61,61,1240.5330911346996,583.0374223450473,5.829399701661066,0,1830
61,62,730.3860031895454,315.2371725153958,1.6057029118347848,0,1830
61,63,998.2256497611136,495.114116417421,0.43633231299858255,0,1830
61,64,1095.184555569554,506.56951111986115,0.0349065850398866,0,1830
61,65,1304.3013698630139,428.7397260273973,1.2915436464758052,0,1830
61,66,1387.9839786175137,410.97724233115565,0.6457718232379024,0,1830
61,67,1427.950859264775,529.7896698005333,0.5934119456780724,0,1830
61,68,1309.4186841311182,863.5302063593383,3.193952531149658,0,1830
61,69,1225.8873487033372,958.2272537943923,2.2514747350726845,0,1830
61,70,611.376234634576,497.99079301997807,0.13962634015959166,0,1830
61,71,1312.574212910157,318.8726173833089,1.605702911834785,0,1830
61,72,1250.4932022970606,1282.1651171608312,0.7155849933176757,0,1830
61,73,1215.3024312358364,1141.5950362838935,1.4660765716752384,0,1830
61,74,495.0474214921137,367.4546577068949,0.349065850398866,0,1830
61,75,783.709080140473,442.6588470185365,1.4660765716752384,0,1830
