frame_id,track_id,center_x,center_y,width,height,angle,confidence,detected
1,1,801.0,1198.0,288.0,155.0,1.6916853189468384,0.9582775235176086,True
1,2,1080.0,926.0,314.0,162.0,0.1236523911356926,0.9557331204414368,True
1,3,752.0,646.0,241.0,154.0,0.8690484762191772,0.9532402753829956,True
1,4,990.0,1049.0,232.0,164.0,1.4461696147918701,0.9520133137702942,True
1,5,899.0,730.0,265.0,155.0,1.8362725973129272,0.9519351720809937,True
1,6,1472.0,1290.0,261.0,155.0,1.9878880977630615,0.9508694410324097,True
1,7,1202.0,1351.0,294.0,157.0,0.7078242301940918,0.9490640163421631,True
1,8,1212.0,1143.0,287.0,162.0,0.7000701427459717,0.9490081667900085,True
1,9,797.0,925.0,261.0,146.0,0.8139397501945496,0.9463733434677124,True
1,10,1063.0,1396.0,232.0,139.0,0.6726689338684082,0.940109133720398,True
1,11,870.0,1324.0,235.0,133.0,1.3825633525848389,0.9345238208770752,True
1,12,942.0,1212.0,260.0,156.0,1.3095229864120483,0.9240056276321411,True
1,13,783.0,1374.0,244.0,121.0,1.078344464302063,0.9002638459205627,True
1,14,1068.0,661.0,270.0,190.0,-0.7740179300308228,0.8853435516357422,True
1,15,944.0,1404.0,190.0,129.0,1.428114414215088,0.748204231262207,True
2,1,801.0,1198.0,289.0,156.0,1.6906062364578247,0.9584362506866455,True
2,2,1080.0,926.0,313.0,162.0,0.1228146180510521,0.9559906721115112,True
2,3,752.0,646.0,241.0,154.0,0.8723006844520569,0.9523997902870178,True
2,4,990.0,1049.0,231.0,164.0,1.4452340602874756,0.9523288607597351,True
2,5,899.0,729.0,265.0,155.0,1.834105134010315,0.9519733190536499,True
2,6,1471.0,1289.0,261.0,155.0,1.9865525960922241,0.9509615898132324,True
2,7,1202.0,1351.0,293.0,157.0,0.7102586627006531,0.9490424394607544,True
2,8,1212.0,1143.0,287.0,162.0,0.6993368268013,0.9488943219184875,True
2,9,797.0,925.0,261.0,147.0,0.812805712223053,0.9468696713447571,True
2,10,1062.0,1396.0,232.0,139.0,0.6639844179153442,0.9398281574249268,True
2,11,870.0,1324.0,234.0,133.0,1.3826502561569214,0.9352648258209229,True
2,12,941.0,1212.0,259.0,154.0,1.2999508380889893,0.92462557554245,True
2,13,785.0,1373.0,245.0,124.0,1.0822606086730957,0.9112876653671265,True
2,14,1070.0,662.0,271.0,190.0,-0.7823132872581482,0.8896057605743408,True
2,15,944.0,1403.0,190.0,128.0,1.429813027381897,0.7977484464645386,True
3,1,800.0,1198.0,289.0,155.0,1.6935571432113647,0.9583701491355896,True
3,2,1064.0,929.0,335.0,164.0,0.14170916378498077,0.9564666152000427,True
3,3,752.0,647.0,240.0,154.0,0.8747780323028564,0.9533966183662415,True
3,4,991.0,1058.0,217.0,162.0,1.431209921836853,0.9523163437843323,True
3,5,898.0,729.0,265.0,155.0,1.8343843221664429,0.9521192908287048,True
3,6,1469.0,1282.0,266.0,159.0,1.901230812072754,0.9482244849205017,True
3,7,1204.0,1357.0,289.0,157.0,0.7130199074745178,0.9484132528305054,True
3,8,1210.0,1140.0,277.0,159.0,0.6814024448394775,0.9476705193519592,True
3,9,800.0,925.0,262.0,151.0,0.8637559413909912,0.9439199566841125,True
3,10,1060.0,1396.0,236.0,139.0,0.652874767780304,0.9385849833488464,True
3,11,869.0,1326.0,232.0,132.0,1.3656134605407715,0.9329816699028015,True
3,12,941.0,1213.0,257.0,155.0,1.2848726511001587,0.9316617846488953,True
3,13,787.0,1376.0,250.0,120.0,1.077380895614624,0.9286246299743652,True
3,14,1071.0,666.0,277.0,185.0,2.3454644680023193,0.9079477190971375,True
3,15,933.0,1399.0,187.0,131.0,1.3429373502731323,0.6329597234725952,True
4,1,799.0,1198.0,290.0,154.0,1.6949992179870605,0.9580863118171692,True
4,2,1054.0,930.0,336.0,165.0,0.16684027016162872,0.954389214515686,True
4,3,752.0,646.0,241.0,154.0,0.8769540786743164,0.9533600211143494,True
4,4,993.0,1062.0,220.0,162.0,1.3764634132385254,0.9521854519844055,True
4,5,898.0,729.0,265.0,156.0,1.8349026441574097,0.9521814584732056,True
4,6,1468.0,1277.0,275.0,161.0,1.8654918670654297,0.9483524560928345,True
4,7,1205.0,1363.0,287.0,156.0,0.7624413967132568,0.943118691444397,True
4,8,1210.0,1136.0,270.0,162.0,0.6661430597305298,0.9436747431755066,True
4,9,800.0,920.0,266.0,152.0,0.87890625,0.9440376162528992,True
4,10,1061.0,1396.0,240.0,141.0,0.6709253191947937,0.938799262046814,True
4,11,868.0,1326.0,233.0,133.0,1.3684333562850952,0.9331318736076355,True
4,12,940.0,1213.0,261.0,155.0,1.2854478359222412,0.930297315120697,True
4,13,789.0,1377.0,258.0,121.0,1.0491406917572021,0.9394316673278809,True
4,14,1070.0,664.0,275.0,185.0,2.3498120307922363,0.8949723243713379,True
4,15,931.0,1399.0,187.0,132.0,1.336207389831543,0.5813591480255127,True
5,1,800.0,1199.0,291.0,154.0,1.6867551803588867,0.9560218453407288,True
5,2,1047.0,931.0,338.0,166.0,0.19490516185760498,0.955830991268158,True
5,3,751.0,646.0,244.0,154.0,0.8745632767677307,0.9579712152481079,True
5,4,992.0,1060.0,215.0,163.0,1.4133468866348267,0.9516217708587646,True
5,5,898.0,729.0,265.0,155.0,1.838388442993164,0.9521195888519287,True
5,6,1465.0,1274.0,275.0,159.0,1.79427170753479,0.9495859146118164,True
5,7,1208.0,1366.0,284.0,155.0,0.7452675104141235,0.9431215524673462,True
5,8,1210.0,1134.0,269.0,161.0,0.6714451313018799,0.9432946443557739,True
5,9,801.0,919.0,269.0,148.0,0.9109821915626526,0.9444635510444641,True
5,10,1062.0,1400.0,231.0,139.0,0.692213237285614,0.9382216930389404,True
5,11,866.0,1320.0,225.0,134.0,1.3601511716842651,0.9190057516098022,True
5,12,940.0,1210.0,260.0,158.0,1.2474735975265503,0.9278887510299683,True
5,13,791.0,1376.0,258.0,125.0,1.0536549091339111,0.9422409534454346,True
5,14,1065.0,656.0,272.0,188.0,0.6952313780784607,0.8736283183097839,True
5,15,940.0,1403.0,191.0,126.0,1.424857497215271,0.5977930426597595,True
6,1,800.0,1200.0,293.0,154.0,1.6713385581970215,0.9534955620765686,True
6,2,1041.0,930.0,331.0,166.0,0.22222217917442322,0.9558082222938538,True
6,3,751.0,644.0,244.0,154.0,0.8835800886154175,0.9529408812522888,True
6,4,992.0,1059.0,217.0,163.0,1.406723141670227,0.95185786485672,True
6,5,898.0,729.0,267.0,155.0,1.8442355394363403,0.9522266387939453,True
6,6,1463.0,1271.0,276.0,155.0,1.7423850297927856,0.9498857259750366,True
6,7,1208.0,1369.0,281.0,154.0,0.7351259589195251,0.9432838559150696,True
6,8,1211.0,1133.0,269.0,160.0,0.66321861743927,0.9426707029342651,True
6,9,802.0,918.0,270.0,149.0,0.943151593208313,0.9453715682029724,True
6,10,1061.0,1399.0,236.0,141.0,0.6920731067657471,0.9380874633789062,True
6,11,865.0,1321.0,228.0,133.0,1.3930411338806152,0.8991158604621887,True
6,12,939.0,1209.0,266.0,158.0,1.2233397960662842,0.9314640760421753,True
6,13,793.0,1376.0,257.0,121.0,1.0640292167663574,0.940635621547699,True
6,14,1069.0,661.0,274.0,190.0,-0.7780569195747375,0.8886120319366455,True
6,15,940.0,1406.0,186.0,119.0,1.4446805715560913,0.6657615303993225,True
7,1,800.0,1200.0,293.0,154.0,1.667795181274414,0.9527766704559326,True
7,2,1039.0,930.0,326.0,166.0,0.2431127429008484,0.9574213624000549,True
7,3,749.0,647.0,240.0,154.0,0.8758817315101624,0.9483850598335266,True
7,4,992.0,1058.0,222.0,163.0,1.3907017707824707,0.9525178074836731,True
7,5,897.0,728.0,269.0,155.0,1.8319936990737915,0.9528456330299377,True
7,6,1461.0,1268.0,280.0,153.0,1.6730791330337524,0.949805498123169,True
7,7,1209.0,1371.0,280.0,155.0,0.7116189002990723,0.9460570216178894,True
7,8,1211.0,1133.0,266.0,159.0,0.6577361226081848,0.9419502019882202,True
7,9,803.0,918.0,272.0,149.0,0.9533698558807373,0.9457128047943115,True
7,10,1059.0,1399.0,236.0,145.0,0.7205597758293152,0.9396979212760925,True
7,11,867.0,1322.0,237.0,136.0,1.3871564865112305,0.921724796295166,True
7,12,938.0,1210.0,266.0,156.0,1.226747751235962,0.9296041131019592,True
7,13,793.0,1375.0,250.0,120.0,1.092904806137085,0.9306967258453369,True
7,14,1072.0,664.0,278.0,188.0,-0.7813366651535034,0.9146938323974609,True
7,15,939.0,1398.0,195.0,119.0,1.3887600898742676,0.7242929935455322,True
8,1,800.0,1200.0,293.0,154.0,1.6717743873596191,0.952543318271637,True
8,2,1039.0,930.0,327.0,166.0,0.24175244569778442,0.9573280215263367,True
8,3,749.0,647.0,240.0,154.0,0.876676619052887,0.9482925534248352,True
8,4,992.0,1058.0,223.0,163.0,1.3913719654083252,0.9527193307876587,True
8,5,897.0,728.0,267.0,156.0,1.8410425186157227,0.9528735280036926,True
8,6,1461.0,1268.0,280.0,153.0,1.6764835119247437,0.9494671821594238,True
8,7,1210.0,1371.0,279.0,155.0,0.7144569754600525,0.9463825225830078,True
8,8,1211.0,1133.0,266.0,159.0,0.6573050618171692,0.9421814680099487,True
8,9,803.0,919.0,272.0,149.0,0.9526805281639099,0.9454730153083801,True
8,10,1058.0,1401.0,234.0,141.0,0.6997585296630859,0.9391726851463318,True
8,11,866.0,1321.0,231.0,135.0,1.380921483039856,0.9122955799102783,True
8,12,938.0,1209.0,266.0,156.0,1.2256522178649902,0.9304559230804443,True
8,13,793.0,1375.0,250.0,121.0,1.0945711135864258,0.9302639961242676,True
8,14,1070.0,662.0,276.0,190.0,-0.7820135951042175,0.8943532705307007,True
8,15,931.0,1396.0,191.0,125.0,1.3728827238082886,0.7175252437591553,True
