frame_id,track_id,center_x,center_y,width,height,angle,confidence,detected
1,1,767.0,919.0,312.0,159.0,1.5677316188812256,0.9609827995300293,True
1,2,1076.0,1377.0,274.0,159.0,1.6726467609405518,0.9585501551628113,True
1,3,1020.0,709.0,301.0,175.0,-0.09167220443487167,0.957934558391571,True
1,4,724.0,1408.0,262.0,182.0,0.33613064885139465,0.9568623304367065,True
1,5,688.0,1189.0,236.0,146.0,-0.1742807775735855,0.9539880752563477,True
1,6,928.0,1376.0,261.0,161.0,1.3376481533050537,0.9534203410148621,True
1,7,603.0,1000.0,237.0,141.0,-0.12124422192573547,0.9521639347076416,True
1,8,583.0,1264.0,239.0,138.0,0.9300521016120911,0.9375497102737427,True
1,9,582.0,1117.0,253.0,149.0,-0.6457604169845581,0.932798445224762,True
1,10,662.0,575.0,267.0,169.0,0.9032341837882996,0.8780668377876282,True
2,1,767.0,918.0,312.0,160.0,1.5641728639602661,0.960418164730072,True
2,2,1076.0,1377.0,275.0,161.0,1.676626205444336,0.9590755701065063,True
2,3,1020.0,709.0,301.0,174.0,-0.09466920047998428,0.9580442905426025,True
2,4,724.0,1405.0,259.0,177.0,0.3350922465324402,0.9592035412788391,True
2,5,688.0,1190.0,238.0,146.0,-0.17988939583301544,0.9574141502380371,True
2,6,919.0,1375.0,259.0,163.0,1.3186928033828735,0.9540470242500305,True
2,7,603.0,1002.0,237.0,144.0,-0.14507311582565308,0.9530773758888245,True
2,8,585.0,1266.0,239.0,137.0,0.9385361671447754,0.9366344809532166,True
2,9,582.0,1117.0,254.0,150.0,-0.6536356210708618,0.9320921897888184,True
2,10,662.0,575.0,267.0,171.0,0.9004997611045837,0.8742504715919495,True
3,1,767.0,917.0,312.0,158.0,1.5611350536346436,0.9598481059074402,True
3,2,1075.0,1376.0,275.0,162.0,1.6851893663406372,0.9585562944412231,True
3,3,1020.0,709.0,301.0,175.0,-0.09421534091234207,0.9582074284553528,True
3,4,725.0,1402.0,262.0,174.0,0.3053625524044037,0.9592235088348389,True
3,5,688.0,1190.0,239.0,146.0,-0.17550261318683624,0.9578189253807068,True
3,6,915.0,1374.0,254.0,159.0,1.3390034437179565,0.9556199908256531,True
3,7,603.0,1002.0,237.0,144.0,-0.14504779875278473,0.9533482193946838,True
3,8,585.0,1268.0,241.0,139.0,0.9483660459518433,0.9346892833709717,True
3,9,582.0,1117.0,255.0,151.0,-0.6511881351470947,0.9322552680969238,True
3,10,663.0,576.0,267.0,170.0,0.8875728845596313,0.8779348731040955,True
