frame_id,track_id,center_x,center_y,width,height,confidence,detected
1,1,1335.5614013671875,1269.32470703125,224.408203125,161.583740234375,0.9002998471260071,True
1,2,1120.858154296875,985.6286010742188,247.4697265625,222.1590576171875,0.8987733721733093,True
1,3,797.7708740234375,820.9381103515625,231.24200439453125,273.75042724609375,0.8914738893508911,True
1,4,939.7559204101562,596.1043701171875,188.6444091796875,249.12771606445312,0.8882026672363281,True
1,5,711.7158203125,630.9447631835938,211.252197265625,197.9688720703125,0.8865280151367188,True
1,6,895.962890625,1150.9315185546875,165.57757568359375,290.071044921875,0.8823354244232178,True
1,7,1050.054443359375,671.819091796875,250.26849365234375,223.89801025390625,0.8750796318054199,True
1,8,984.7447509765625,838.9884033203125,250.525390625,226.424560546875,0.8680976629257202,True
1,9,782.6287841796875,1028.3983154296875,200.90972900390625,282.25341796875,0.8606595993041992,True
1,10,1151.031982421875,1198.4598388671875,174.7994384765625,316.158935546875,0.8603490591049194,True
1,11,1081.4974365234375,1331.719482421875,197.968505859375,209.8990478515625,0.8257965445518494,True
1,12,999.5170288085938,1259.0771484375,201.6864013671875,243.475830078125,0.8250290751457214,True
1,13,853.6477661132812,1288.6253662109375,148.482421875,236.942138671875,0.8142940402030945,True
1,14,808.1378173828125,1376.39892578125,178.31427001953125,236.3653564453125,0.794128954410553,True
1,15,955.922607421875,1365.065185546875,173.703369140625,182.9263916015625,0.7798406481742859,True
2,1,1335.517333984375,1269.261474609375,224.5205078125,161.6766357421875,0.9002333283424377,True
2,2,1120.8741455078125,985.5604248046875,247.66058349609375,222.14013671875,0.8986449241638184,True
2,3,797.7428588867188,820.8172607421875,231.3427734375,273.625732421875,0.891388475894928,True
2,4,939.7572021484375,596.0709228515625,188.71197509765625,249.17816162109375,0.8879497051239014,True
2,5,711.7060546875,630.925048828125,211.32611083984375,197.97955322265625,0.8866379857063293,True
2,6,896.0762939453125,1150.91357421875,165.94195556640625,290.072021484375,0.8823099732398987,True
2,7,1050.015869140625,671.7872314453125,250.3343505859375,224.04718017578125,0.8747772574424744,True
2,8,984.7415771484375,838.9454956054688,250.68896484375,226.52490234375,0.8666844964027405,True
2,9,782.5626220703125,1028.554443359375,201.07330322265625,282.6654052734375,0.8612493276596069,True
2,10,1151.24462890625,1198.087158203125,174.523681640625,316.2305908203125,0.8622526526451111,True
2,11,1080.849853515625,1332.45166015625,198.8499755859375,208.6143798828125,0.8291416168212891,True
2,12,999.61376953125,1259.0185546875,201.89141845703125,243.6197509765625,0.8245154619216919,True
2,13,853.740478515625,1288.593505859375,148.72601318359375,236.9503173828125,0.8160973787307739,True
2,14,808.1791381835938,1376.385498046875,178.13037109375,236.3984375,0.7947153449058533,True
2,15,956.093994140625,1366.7191162109375,173.10296630859375,179.129150390625,0.784984290599823,True
3,1,1335.779541015625,1269.193115234375,223.6268310546875,161.624267578125,0.9014962315559387,True
3,2,1121.911376953125,987.2169189453125,246.33831787109375,226.15081787109375,0.8975986838340759,True
3,3,797.788818359375,823.364501953125,227.96405029296875,276.08349609375,0.8894094228744507,True
3,4,939.6605834960938,595.9412231445312,188.4718017578125,250.1136474609375,0.8855400085449219,True
3,5,711.849365234375,630.972412109375,210.6712646484375,197.537353515625,0.8876045942306519,True
3,6,896.331298828125,1149.376220703125,166.34014892578125,293.203369140625,0.8836197853088379,True
3,7,1048.94091796875,671.2276000976562,251.01666259765625,222.583251953125,0.8794287443161011,True
3,8,984.90771484375,853.3206787109375,246.71893310546875,242.4967041015625,0.8706190586090088,True
3,9,780.2498779296875,1031.228271484375,192.71636962890625,283.8428955078125,0.8508188724517822,True
3,10,1150.2666015625,1197.4354248046875,174.6220703125,317.01123046875,0.8538807034492493,True
3,11,1080.292724609375,1331.548095703125,199.38165283203125,210.3436279296875,0.8328485488891602,True
3,12,999.4954833984375,1254.181396484375,204.98602294921875,252.4688720703125,0.807090699672699,True
3,13,852.8538818359375,1291.04150390625,147.178466796875,239.2061767578125,0.8135577440261841,True
3,14,807.8958740234375,1376.723388671875,177.82208251953125,236.2589111328125,0.787916362285614,True
3,15,955.3505859375,1366.399658203125,174.24908447265625,179.3310546875,0.784727156162262,True
4,1,1335.643310546875,1269.1353759765625,223.655029296875,161.672607421875,0.9012545347213745,True
4,2,1122.6226806640625,988.5667114257812,245.49102783203125,229.9429931640625,0.8931311368942261,True
4,3,798.5177001953125,825.912109375,224.2288818359375,278.06719970703125,0.8907362818717957,True
4,4,939.701904296875,596.0179443359375,188.38665771484375,251.10089111328125,0.8859888315200806,True
4,5,711.890625,630.973876953125,210.43511962890625,197.53277587890625,0.8877066969871521,True
4,6,895.85302734375,1148.3851318359375,165.15496826171875,294.72210693359375,0.8815666437149048,True
4,7,1047.616943359375,667.7360229492188,253.1614990234375,214.87255859375,0.8853501081466675,True
4,8,987.1438598632812,864.3431396484375,239.2733154296875,256.71710205078125,0.8731686472892761,True
4,9,774.91650390625,1033.1474609375,179.2701416015625,286.83355712890625,0.8593935370445251,True
4,10,1151.22509765625,1197.541015625,175.3609619140625,317.5328369140625,0.8480698466300964,True
4,11,1079.1148681640625,1332.28076171875,200.712646484375,209.0556640625,0.8357126116752625,True
4,12,1001.0741577148438,1242.6513671875,212.3814697265625,276.7523193359375,0.8393760919570923,True
4,13,851.9732666015625,1291.1741943359375,146.21173095703125,240.556884765625,0.8158304691314697,True
4,14,806.94970703125,1376.42626953125,178.33282470703125,236.9552001953125,0.7741716504096985,True
4,15,954.98095703125,1364.766845703125,174.64654541015625,182.2791748046875,0.786981999874115,True
5,1,1335.6353759765625,1268.959716796875,223.842041015625,161.5902099609375,0.9000673890113831,True
5,2,1123.734619140625,988.9989013671875,244.277099609375,233.08984375,0.8850630521774292,True
